agent;timestep;position;direction;status;given_command
0;0;None;w;waiting;wait
1;0;None;w;waiting;wait
0;1;None;w;waiting;wait
1;1;None;w;waiting;wait
0;2;None;w;waiting;wait
1;2;None;w;waiting;wait
0;3;None;w;waiting;wait
1;3;None;w;waiting;wait
0;4;None;w;ready to depart;move_forward
1;4;None;w;waiting;wait
0;5;(15, 8);w;moving;move_forward
1;5;None;w;waiting;wait
0;6;(15, 7);w;moving;wait
1;6;None;w;waiting;wait
0;7;(15, 7);w;stopped;wait
1;7;None;w;ready to depart;move_forward
0;8;(15, 7);w;stopped;move_forward
1;8;(30, 30);w;moving;move_forward
0;9;(16, 7);s;moving;move_forward
1;9;(30, 29);w;moving;wait
0;10;(16, 6);w;moving;move_forward
1;10;(30, 29);w;stopped;move_forward
0;11;(16, 5);w;moving;move_forward
1;11;(30, 28);w;moving;move_forward
0;12;(16, 4);w;moving;move_forward
1;12;(30, 27);w;moving;move_forward
0;13;(16, 3);w;moving;move_forward
1;13;(30, 26);w;moving;move_forward
0;14;(17, 3);s;moving;move_forward
1;14;(30, 25);w;moving;move_right
0;15;(18, 3);s;moving;move_forward
1;15;(29, 25);n;moving;move_forward
0;16;(19, 3);s;moving;move_forward
1;16;(28, 25);n;moving;move_forward
0;17;(20, 3);s;moving;move_forward
1;17;(27, 25);n;moving;move_forward
0;18;(21, 3);s;moving;move_forward
1;18;(26, 25);n;moving;move_forward
0;19;(22, 3);s;moving;move_forward
1;19;(25, 25);n;moving;move_forward
0;20;(22, 4);e;moving;move_forward
1;20;(24, 25);n;moving;move_forward
0;21;(22, 5);e;moving;move_forward
1;21;(24, 24);w;moving;move_forward
0;22;(22, 6);e;moving;move_forward
1;22;(24, 23);w;moving;move_forward
0;23;(22, 7);e;moving;move_forward
1;23;(24, 22);w;moving;move_forward
0;24;(22, 8);e;moving;move_forward
1;24;(24, 21);w;moving;move_forward
0;25;(22, 9);e;moving;move_forward
1;25;(24, 20);w;moving;move_forward
0;26;(22, 10);e;moving;move_forward
1;26;(24, 19);w;moving;move_forward
0;27;(22, 11);e;moving;move_forward
1;27;(24, 18);w;moving;move_forward
0;28;(23, 11);s;moving;move_forward
1;28;(24, 17);w;moving;move_forward
0;29;(24, 11);s;moving;move_forward
1;29;(24, 16);w;moving;move_forward
0;30;(25, 11);s;moving;move_forward
1;30;(24, 15);w;moving;move_forward
0;31;(26, 11);s;moving;move_forward
1;31;(24, 14);w;moving;move_forward
0;32;(27, 11);s;moving;move_forward
1;32;(23, 14);n;moving;move_forward
0;33;(27, 12);e;moving;move_forward
1;33;(22, 14);n;moving;move_forward
0;34;(27, 13);e;moving;move_forward
1;34;(21, 14);n;moving;move_forward
0;35;(28, 13);s;moving;move_forward
1;35;(20, 14);n;moving;move_forward
0;36;(28, 14);e;moving;move_forward
1;36;(19, 14);n;moving;move_forward
0;37;(29, 14);s;moving;move_forward
1;37;(18, 14);n;moving;move_forward
0;38;(29, 15);e;moving;move_forward
1;38;(17, 14);n;moving;move_forward
0;39;(29, 16);e;moving;move_forward
1;39;(17, 13);w;moving;move_forward
0;40;(29, 17);e;moving;move_forward
1;40;(17, 12);w;moving;move_forward
0;41;(29, 18);e;moving;move_forward
1;41;(17, 11);w;moving;move_forward
0;42;(29, 19);e;moving;move_forward
1;42;(17, 10);w;moving;move_forward
0;43;(29, 20);e;moving;move_forward
1;43;(17, 9);w;moving;move_left
0;44;(29, 21);e;moving;move_forward
1;44;(18, 9);s;moving;move_forward
0;45;(30, 21);s;moving;move_forward
0;46;(30, 22);e;moving;move_forward
0;47;(30, 23);e;moving;move_forward
0;48;(30, 24);e;moving;move_forward
0;49;(30, 25);e;moving;move_forward
0;50;(30, 26);e;moving;move_forward
0;51;(30, 27);e;moving;move_right
0;52;(31, 27);s;moving;move_forward
0;53;(31, 28);e;moving;move_forward
0;54;(31, 29);e;moving;move_forward
